 1948  1994
 1982 -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321  -0.0830321 -0.0830321
 1983 -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098  -0.0663098 -0.0663098
 1984 -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664  -0.0610664 -0.0610664
 1985 -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260  -0.0662260 -0.0662260
 1986 -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092  -0.0655092 -0.0655092
 1987 -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623  -0.0703623 -0.0703623
 1988 -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421  -0.0728421 -0.0728421
 1989 -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213  -0.0842213 -0.0842213
 1990 -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309  -0.0582309 -0.0582309
 1991 -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315  -0.0303315 -0.0303315
 1992 -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068  -0.0123068 -0.0123068
 1993  0.0094389   0.0094389   0.0094389   0.0094389   0.0094389   0.0094389   0.0094389   0.0094389   0.0094389   0.0094389   0.0094389  0.0094389
 1994  0.0410902   0.0410902   0.0410902   0.0410902   0.0410902   0.0410902   0.0410902   0.0410902   0.0410902   0.0410902   0.0410902  0.0410902
 -999.9
